时间,辐照度,风速,风向,温度,湿度,压强,实际辐照度,实际功率
2017-01-01 00:15:00,-1.0,-0.8559154,0.29152890800000003,-0.459561129,-0.207037425,0.043512657999999996,0.0,0.039
2017-01-01 00:30:00,-1.0,-0.8519497690000001,0.39527130299999996,-0.46290491100000003,-0.20026277399999998,0.042721519000000006,0.0,0.039
2017-01-01 00:45:00,-1.0,-0.8479841370000001,0.49723557399999996,-0.465830721,-0.19279013,0.04193038,0.0,0.042332999999999996
2017-01-01 01:00:00,-1.0,-0.844018506,0.592254049,-0.46959247600000004,-0.184763195,0.041139241,0.0,0.042667000000000004
2017-01-01 01:15:00,-1.0,-0.838730998,0.6751034920000001,-0.47335423200000004,-0.176346205,0.040348101000000004,0.0,0.042667000000000004
2017-01-01 01:30:00,-1.0,-0.83344349,0.740727364,-0.477115987,-0.167723923,0.039556962,0.0,0.042667000000000004
2017-01-01 01:45:00,-1.0,-0.826834104,0.7838468590000001,-0.48129571600000004,-0.159019523,0.038765823,0.0,0.042667000000000004
2017-01-01 02:00:00,-1.0,-0.820224719,0.79940544,-0.48589341700000005,-0.150397241,0.037183544,0.0,0.039333
2017-01-01 02:15:00,-1.0,-0.81097158,0.794404468,-0.49174503700000005,-0.140296853,0.036392405,0.0,0.049667
2017-01-01 02:30:00,-1.0,-0.800396563,0.78062401,-0.49968652,-0.127404488,0.034018987,0.0,0.046
2017-01-01 02:45:00,-1.0,-0.78849967,0.759731059,-0.508881923,-0.11239761,0.032436709,0.0,0.039
2017-01-01 03:00:00,-1.0,-0.773959022,0.73361487,-0.5189132710000001,-0.09589209800000001,0.030063291000000002,0.0,0.049667
2017-01-01 03:15:00,-1.0,-0.759418374,0.7039979999999999,-0.529780564,-0.07854488700000001,0.027689872999999997,0.0,0.042667000000000004
2017-01-01 03:30:00,-1.0,-0.7422339720000001,0.67254744,-0.5406478579999999,-0.060951325,0.025316456,0.0,0.039333
2017-01-01 03:45:00,-1.0,-0.723727693,0.641152446,-0.551097179,-0.043809405999999995,0.022943038,0.0,0.042667000000000004
2017-01-01 04:00:00,-1.0,-0.7038995370000001,0.61148001,-0.560710554,-0.027714479,0.02056962,0.0,0.046
2017-01-01 04:15:00,-1.0,-0.684071381,0.5853638210000001,-0.56907001,-0.013323479,0.018987342,0.0,0.046333
2017-01-01 04:30:00,-1.0,-0.661599471,0.564526436,-0.575339603,-0.001272813,0.017405063000000002,0.0,0.042667000000000004
2017-01-01 04:45:00,-1.0,-0.640449438,0.550690412,-0.579519331,0.007821642,0.016613924,0.0,0.043
2017-01-01 05:00:00,-1.0,-0.6179775279999999,0.54568944,-0.5811912229999999,0.013282421,0.015822785,0.0,0.046333
2017-01-01 05:15:00,-1.0,-0.59021811,0.547189731,-0.5811912229999999,0.016628688,0.017405063000000002,0.0,0.042667000000000004
2017-01-01 05:30:00,-1.0,-0.553205552,0.551301642,-0.58077325,0.01981072,0.021360759,0.0,0.046333
2017-01-01 05:45:00,-1.0,-0.510905486,0.557580641,-0.58077325,0.022766931,0.026898734,0.0,0.046
2017-01-01 06:00:00,-1.0,-0.46463978799999994,0.565359931,-0.580355277,0.02551785,0.034018987,0.0,0.042332999999999996
2017-01-01 06:15:00,-1.0,-0.415730337,0.574306115,-0.579519331,0.028022417999999997,0.042721519000000006,0.0,0.042667000000000004
2017-01-01 06:30:00,-1.0,-0.366820886,0.5837523960000001,-0.579101358,0.030260106000000002,0.053006329000000005,0.0,0.042667000000000004
2017-01-01 06:45:00,-1.0,-0.320555188,0.5932542439999999,-0.578265413,0.032189854,0.06329113900000001,0.0,0.039333
2017-01-01 07:00:00,-1.0,-0.276933245,0.602255994,-0.5774294670000001,0.033832193999999996,0.074367089,0.0,0.049667
2017-01-01 07:15:00,-1.0,-0.241242564,0.61025755,-0.576593521,0.035146066000000004,0.08544303800000001,0.0,0.039
2017-01-01 07:30:00,-1.0,-0.21216126899999999,0.616814381,-0.575339603,0.03611094,0.09651898699999999,0.0,0.035332999999999996
2017-01-01 07:45:00,-1.0,-0.192333113,0.621259689,-0.574085684,0.036706288,0.10680379699999999,0.0,0.039
2017-01-01 08:00:00,-1.0,-0.185723728,0.623204512,-0.572831766,0.036911581,0.11708860800000001,0.0,0.039333
2017-01-01 08:15:00,-1.0,-0.188367482,0.623593477,-0.56907001,0.032559381,0.12658227800000002,0.0,-0.035667000000000004
2017-01-01 08:30:00,-1.0,-0.194976867,0.623926875,-0.559874608,0.02036501,0.138449367,2.0,-0.064333
2017-01-01 08:45:00,-0.96518772,-0.204230007,0.624204706,-0.54691745,0.001560223,0.151107595,22.0,0.174
2017-01-01 09:00:00,-0.899902368,-0.21612689999999998,0.624371406,-0.5301985370000001,-0.022623227000000003,0.164556962,43.6667,0.582667
2017-01-01 09:15:00,-0.8239267859999999,-0.230667548,0.624538105,-0.510971787,-0.050974113,0.178006329,86.0,1.439
2017-01-01 09:30:00,-0.7581877890000001,-0.24785195,0.624704804,-0.490073145,-0.082199093,0.19066455699999998,153.667,2.6710000000000003
2017-01-01 09:45:00,-0.701561129,-0.266358229,0.6248715029999999,-0.467920585,-0.115107471,0.203322785,272.66700000000003,4.74533
2017-01-01 10:00:00,-0.640141616,-0.284864508,0.624982636,-0.444932079,-0.14844696300000002,0.21439873399999998,552.3330000000001,9.15
2017-01-01 10:15:00,-0.575803,-0.304692664,0.625204901,-0.422779519,-0.180985814,0.223892405,255.333,4.64633
2017-01-01 10:30:00,-0.510399306,-0.32452082,0.625427166,-0.401462905,-0.21147174100000002,0.231803797,128.667,2.17033
2017-01-01 10:45:00,-0.445764835,-0.343027098,0.625704998,-0.382236155,-0.23867299,0.236550633,545.6669999999999,9.38767
2017-01-01 11:00:00,-0.38373388799999997,-0.36021149999999996,0.626093963,-0.365099269,-0.26135780399999997,0.238132911,611.3330000000001,10.3327
2017-01-01 11:15:00,-0.326180215,-0.378717779,0.626871892,-0.349216301,-0.282133399,0.234968354,269.33299999999997,4.4719999999999995
2017-01-01 11:30:00,-0.27495784100000004,-0.397224058,0.6282610510000001,-0.332079415,-0.304058632,0.22784810100000003,212.667,4.0776699999999995
2017-01-01 11:45:00,-0.231881342,-0.418374091,0.6300947410000001,-0.314106583,-0.326558683,0.216772152,213.333,3.6943300000000003
2017-01-01 12:00:00,-0.198844193,-0.43952412399999996,0.6322618289999999,-0.295715778,-0.349058734,0.202531646,170.333,3.26067
2017-01-01 12:15:00,-0.17766097,-0.46067415700000003,0.634651182,-0.277742947,-0.371045554,0.186708861,223.333,4.351
2017-01-01 12:30:00,-0.170185698,-0.483146067,0.637151668,-0.260606061,-0.39190326600000003,0.170094937,250.333,4.738
2017-01-01 12:45:00,-0.17158607899999997,-0.505617978,0.639596588,-0.244723093,-0.411098109,0.152689873,270.0,5.018330000000001
2017-01-01 13:00:00,-0.17570832600000003,-0.526768011,0.6418748089999999,-0.23051201699999999,-0.428075794,0.136867089,257.33299999999997,4.87667
2017-01-01 13:15:00,-0.182414375,-0.547918044,0.6438751979999999,-0.21880877699999998,-0.44226150200000003,0.121835443,344.0,6.489669999999999
2017-01-01 13:30:00,-0.191546434,-0.5677462,0.6454310560000001,-0.209613375,-0.45308041299999996,0.109968354,729.3330000000001,8.76267
2017-01-01 13:45:00,-0.202986164,-0.587574356,0.646486817,-0.203761755,-0.459978239,0.101265823,800.3330000000001,12.581
2017-01-01 14:00:00,-0.216575773,-0.604758757,0.646875781,-0.20167189100000002,-0.46240069,0.09651898699999999,979.3330000000001,10.9257
2017-01-01 14:15:00,-0.23219692100000003,-0.620621282,0.628705582,-0.202507837,-0.460819938,0.09493670900000001,504.667,9.03567
2017-01-01 14:30:00,-0.249691818,-0.637805684,0.5785291579999999,-0.204179728,-0.45624191700000005,0.09335443,398.667,6.56767
2017-01-01 14:45:00,-0.268922397,-0.654990086,0.502736643,-0.207105538,-0.449036152,0.091772152,367.667,7.45167
2017-01-01 15:00:00,-0.289750594,-0.670852611,0.407662601,-0.21086729399999998,-0.43951058299999995,0.09098101300000001,351.0,6.277
2017-01-01 15:15:00,-0.312018619,-0.686715135,0.29980829600000003,-0.215882968,-0.428014206,0.08939873400000001,255.0,4.95467
2017-01-01 15:30:00,-0.335627854,-0.70257766,0.18556386,-0.221316614,-0.414854961,0.088607595,703.6669999999999,10.2543
2017-01-01 15:45:00,-0.360400785,-0.717118308,0.07131942299999999,-0.22758620699999998,-0.400361315,0.087816456,545.0,8.527999999999999
2017-01-01 16:00:00,-0.386869952,-0.7303370790000001,-0.036534882000000005,-0.234273772,-0.384882265,0.08702531599999999,499.333,7.590669999999999
2017-01-01 16:15:00,-0.43422648700000005,-0.7422339720000001,-0.13160892400000002,-0.24137931,-0.368746279,0.086234177,534.0,7.526669999999999
2017-01-01 16:30:00,-0.50558673,-0.752808989,-0.207401439,-0.24890282100000002,-0.352261296,0.086234177,450.667,7.295669999999999
2017-01-01 16:45:00,-0.5928639760000001,-0.762062128,-0.257577862,-0.256844305,-0.335776313,0.08544303800000001,350.0,6.26933
2017-01-01 17:00:00,-0.6880109659999999,-0.767349636,-0.275748062,-0.264785789,-0.319619798,0.08544303800000001,455.0,5.526669999999999
2017-01-01 17:15:00,-0.78296072,-0.772637145,-0.26246770199999997,-0.274817137,-0.300630248,0.08702531599999999,342.333,2.83867
2017-01-01 17:30:00,-0.86966598,-0.7766027759999999,-0.225738338,-0.289864159,-0.276323623,0.090189873,257.66700000000003,2.03933
2017-01-01 17:45:00,-0.9400597629999999,-0.7805684070000001,-0.170171978,-0.307836991,-0.248013796,0.095727848,88.3333,0.522
2017-01-01 18:00:00,-1.0,-0.7832121609999999,-0.100269497,-0.328317659,-0.217035167,0.10205696199999999,8.0,-0.046333
2017-01-01 18:15:00,-1.0,-0.785855915,-0.020754036,-0.35047021899999997,-0.18472213699999998,0.109968354,0.0,-0.057
2017-01-01 18:30:00,-1.0,-0.78849967,0.063873531,-0.37304075200000003,-0.152388578,0.118670886,0.0,0.025
2017-01-01 18:45:00,-1.0,-0.791143424,0.149001195,-0.39477534,-0.121409948,0.12816455699999998,0.0,0.035667000000000004
2017-01-01 19:00:00,-1.0,-0.793787178,0.230016948,-0.41525600799999995,-0.09305906300000001,0.137658228,0.0,0.035667000000000004
2017-01-01 19:15:00,-1.0,-0.796430932,0.302308782,-0.43322884,-0.06869085,0.146360759,0.0,0.042332999999999996
2017-01-01 19:30:00,-1.0,-0.799074686,0.36126469,-0.447857889,-0.049660240999999994,0.154272152,0.0,0.042667000000000004
2017-01-01 19:45:00,-1.0,-0.80171844,0.40238379700000004,-0.457889237,-0.037260577999999996,0.161392405,0.0,0.045667
2017-01-01 20:00:00,-1.0,-0.805684071,0.420942961,-0.46290491100000003,-0.032826261,0.167721519,0.0,0.038667
2017-01-01 20:15:00,-1.0,-0.8096497029999999,0.426555164,-0.464576803,-0.035187124,0.172468354,0.0,0.038667
2017-01-01 20:30:00,-1.0,-0.8136153340000001,0.43177840100000003,-0.465830721,-0.041674365,0.178006329,0.0,0.032
2017-01-01 20:45:00,-1.0,-0.817580965,0.436501542,-0.46666666700000003,-0.051507872999999996,0.183544304,0.0,0.032
2017-01-01 21:00:00,-1.0,-0.822868473,0.440835718,-0.46750261200000004,-0.06382541900000001,0.18908227800000002,0.0,0.039333
2017-01-01 21:15:00,-1.0,-0.826834104,0.44466979700000003,-0.46833855799999996,-0.077805834,0.193829114,0.0,0.032
2017-01-01 21:30:00,-1.0,-0.832121613,0.448059345,-0.46875653100000003,-0.092627949,0.19857594899999997,0.0,0.032
2017-01-01 21:45:00,-1.0,-0.836087244,0.45094879600000004,-0.46959247600000004,-0.10742953300000001,0.203322785,0.0,0.035667000000000004
2017-01-01 22:00:00,-1.0,-0.840052875,0.45333814899999997,-0.470010449,-0.121409948,0.20727848100000001,0.0,0.035667000000000004
2017-01-01 22:15:00,-1.0,-0.844018506,0.455227405,-0.470846395,-0.133727495,0.210443038,0.0,0.042332999999999996
2017-01-01 22:30:00,-1.0,-0.8479841370000001,0.456560998,-0.471682341,-0.14356100300000002,0.21281645600000001,0.0,0.035667000000000004
2017-01-01 22:45:00,-1.0,-0.850627892,0.45739449299999996,-0.47293625899999997,-0.15006877300000002,0.21439873399999998,0.0,0.046333
